totalSessionsPlayed,totalSessionsLost,totalSessionsWon,totalChampionKills,totalDamageDealt,totalDamageTaken,mostChampionKillsPerSession,totalMinionKills,totalDoubleKills,totalTripleKills,totalQuadraKills,totalPentaKills,totalUnrealKills,totalDeathsPerSession,totalGoldEarned,mostSpellsCast,totalTurretsKilled,totalPhysicalDamageDealt,totalMagicDamageDealt,totalFirstBlood,totalAssists,maxChampionsKilled,maxNumDeaths,label
141,66,75,1146,23347684,2650159,23,27533,123,23,5,1,0,805,1915013,0,110,1710059,21480016,0,1216,23,13,platinum
155,56,99,1303,32483192,2798333,23,39267,184,31,5,0,0,774,2307652,0,173,2408661,29941332,0,1152,23,13,platinum
8,2,6,64,1239909,113163,14,1669,11,2,0,0,0,36,103610,0,6,107056,1129050,0,57,14,11,platinum
22,11,11,155,3457349,349208,13,4242,12,3,0,0,0,92,279078,0,14,279128,3164012,0,166,13,13,platinum
96,42,54,592,13734417,1591763,14,19066,80,7,2,0,0,459,1151363,0,67,1246305,12437520,0,716,14,12,diamond
8,4,4,41,1423910,127506,10,1940,3,0,0,0,0,35,106011,0,11,150603,1270611,0,55,10,7,diamond
52,26,26,335,7492551,827298,13,10483,36,8,1,0,0,253,637918,0,42,750086,6714486,0,344,13,11,diamond
86,36,50,639,15761037,1533807,16,18615,70,9,0,0,0,416,1178863,0,80,1197069,14487549,0,633,16,11,diamond
131,63,68,836,20700426,2156562,17,28668,88,14,1,0,0,580,1667190,0,108,1849021,18770219,0,866,17,11,diamond
1,1,0,9,263024,33853,9,275,0,0,0,0,0,8,16196,0,1,12814,249741,0,11,9,8,gold
26,9,17,259,3566736,396994,19,4422,31,5,0,0,0,134,351110,0,34,552842,2971412,0,228,19,10,gold
96,44,52,760,15448108,1561475,24,18996,94,19,2,1,0,531,1267527,0,92,1199461,14168151,0,696,24,15,gold
34,12,22,263,5676939,528196,19,6707,27,4,2,0,0,128,455675,0,38,500097,5149120,0,264,19,9,gold
145,77,68,799,22417162,2251243,24,30419,98,17,2,0,0,696,1710456,0,131,2170439,20145270,0,763,24,12,challenger
20,14,6,96,3018899,346238,11,4003,9,2,0,0,0,134,231306,0,15,308588,2703196,0,125,11,11,challenger
198,87,111,1360,29300129,3106466,22,39632,163,28,8,1,0,902,2414353,0,167,2541257,26621602,0,1249,22,15,challenger
37,14,23,244,6911119,608431,17,8657,31,6,1,0,0,160,484989,0,42,570005,6323900,0,218,17,11,challenger
154,76,78,894,22890570,2706231,28,29486,93,14,1,1,0,688,1824797,0,111,1724207,21068797,0,1104,28,12,challenger
36,12,24,251,5727301,522435,22,7899,25,5,0,0,0,129,457287,0,41,484667,5215966,0,232,22,11,challenger
153,69,84,1141,26447538,2195343,23,33807,139,27,5,1,0,496,2029967,0,171,2464822,23832537,0,1045,23,9,challenger
59,26,33,397,8572762,873136,22,12311,44,5,0,0,0,265,721597,0,65,689919,7848426,0,349,22,14,challenger
105,46,59,690,16862828,1632771,19,22968,72,10,0,0,0,458,1333217,0,101,1529703,15262521,0,679,19,13,challenger
73,35,38,472,12459488,1119906,20,15874,49,8,1,0,0,275,931065,0,68,1009073,11381925,0,438,20,12,challenger
12,4,8,62,1606578,173666,11,2297,5,2,0,0,0,51,133657,0,15,166550,1434655,0,76,11,9,challenger
25,8,17,162,4106391,389669,19,5283,13,1,0,0,0,103,316703,0,30,376182,3704694,0,165,19,9,challenger
108,54,54,720,18697752,1890108,17,24013,80,7,1,0,0,504,1415241,0,99,1247566,17366028,0,737,17,12,challenger
38,17,21,221,5588366,538076,15,8057,25,8,1,0,0,153,441484,0,47,460901,5114277,0,196,15,13,challenger
114,53,61,861,19673566,2331548,17,23563,102,17,3,0,0,715,1529698,0,89,1264288,18328101,0,789,17,12,challenger
24,10,14,98,3337326,310275,9,4697,10,0,0,0,0,76,260624,0,17,309018,3017695,0,137,9,13,master
94,39,55,643,15618869,1615180,21,20289,81,9,1,0,0,453,1221479,0,93,1165487,14388495,0,580,21,12,master
137,67,70,841,21846854,2592661,19,27720,79,14,2,0,0,702,1716555,0,102,1780323,19983016,0,949,19,12,master
47,18,29,381,8237897,743719,19,10392,46,8,0,0,0,184,629670,0,66,661637,7540284,0,338,19,11,master
24,12,12,200,4240991,535734,25,5575,25,7,1,1,0,156,329371,0,26,321874,3901578,0,156,25,12,master
14,6,8,120,2801734,210595,20,3275,18,5,1,1,0,60,192769,0,10,151150,2644543,0,55,20,7,master
128,54,74,807,19235235,2041520,18,25718,77,4,0,0,0,579,1561577,0,106,1425418,17712545,0,818,18,12,master
28,17,11,190,5234107,486857,14,6214,20,3,1,0,0,154,368694,0,21,379929,4830446,0,187,14,13,master
64,24,40,571,10652448,1034250,22,12494,78,15,1,0,0,328,851823,0,50,748704,9853145,0,455,22,14,master
89,43,46,651,13032500,1599206,19,16417,79,13,2,0,0,532,1077275,0,68,1101102,11836917,0,549,19,16,master
79,34,45,569,14087860,1141971,15,17135,88,9,2,1,0,318,1045395,0,93,976094,13041749,0,485,15,8,master
105,48,57,688,18611452,1832365,20,23931,67,14,1,0,0,507,1361660,0,113,1601008,16938043,0,634,20,13,master
141,70,71,949,21707151,2687348,18,28208,119,14,1,0,0,698,1747687,0,136,2211997,19381616,0,910,18,13,master
35,17,18,219,5378324,447750,16,6578,24,4,1,0,0,113,416742,0,24,415953,4935463,0,215,16,7,master
37,18,19,287,6234762,565983,27,7913,45,11,1,1,0,157,470423,0,35,355871,5833360,0,236,27,9,master
87,39,48,594,13844738,1406486,18,18976,69,16,1,0,0,410,1091616,0,57,1153857,12642224,0,482,18,12,master
63,34,29,318,8674891,1020096,14,12407,39,5,2,0,0,279,720206,0,49,849357,7792056,0,440,14,9,master
77,30,47,430,10191131,1266451,17,13533,41,6,0,0,0,344,900036,0,83,1050243,9063572,0,541,17,12,master
46,13,33,354,7519995,669421,17,9570,46,6,2,0,0,178,596943,0,49,556475,6899710,0,335,17,10,master
62,20,42,418,9967702,887013,19,12608,42,5,1,0,0,206,796750,0,72,714866,9204419,0,523,19,17,master
18,8,10,129,3151563,302760,15,4019,16,2,0,0,0,66,241246,0,16,280043,2854646,0,103,15,8,master
118,61,57,762,18639431,1899612,25,24953,82,14,1,0,0,519,1453273,0,82,1553973,16998809,0,723,25,12,master
85,35,50,547,12831873,1431125,18,16830,61,11,1,1,0,422,1034380,0,66,1322403,11450895,0,572,18,14,master
77,40,37,469,11520572,1104714,24,15414,50,7,0,0,0,259,925219,0,45,863592,10608214,0,448,24,9,master
44,18,26,237,7026781,736747,14,9237,23,5,2,0,0,210,542088,0,31,473523,6530254,0,296,14,11,master
1,0,1,8,147358,17201,8,197,2,1,0,0,0,6,13418,0,0,21585,125351,0,9,8,6,silver
2,1,1,5,209270,30118,3,298,0,0,0,0,0,10,18112,0,0,24424,184846,0,7,3,5,silver
5,3,2,46,876312,103432,16,1069,4,2,0,0,0,41,73211,0,3,83709,785414,0,46,16,12,silver
